stock_code,fiscal_year,TFPC1,TFPC2,TFPC3,TFPC4,TFPC7,TFPC12,TFPC15,TFPC17,TFPC20,TFPC26,neg_TFPC2
70,2023,0.5818064183625661,-0.39886524079150704,-0.017394403790307586,0.017804942517226634,-0.0347026998979911,-0.09873877503530032,-0.013359185151285277,-0.033543921658086576,-0.03603996104362147,0.0976793995973716,0.39886524079150704
70,2024,0.5602560201282906,-0.39474972761559035,-0.0032981057799609864,-0.029218828176580672,-0.05105612138729178,-0.06458653410993023,-0.023641930410467395,-0.038100502284367864,-0.09041713907984632,0.0756174835503744,0.39474972761559035
80,2022,0.6606612538046452,0.17075650619657443,0.2886381730612851,0.08695157809350158,-0.02497102405767033,-0.08331545296816509,-0.09350648321682777,0.08696326015138992,0.067823245968538,-0.04281355228575131,-0.17075650619657443
80,2023,0.6470765147434124,0.15355124662199704,0.2788167555527466,0.10201997358050185,-0.015106039215674816,-0.09425124300839967,-0.08466435595893307,0.09766995225650466,0.06754789621590701,-0.035467533164801376,-0.15355124662199704
80,2024,0.6296356403906672,0.23621764963111133,0.28755820532437015,0.03551201300728364,-0.028535824097006647,-0.06837670981728007,-0.1014417110936842,0.06087131360431475,0.08299974528956562,-0.010695375248781662,-0.23621764963111133
100,2022,0.5216864715585227,-0.01974522996469802,-0.2981089439717553,-0.0503949904133164,-0.16003578012264502,-0.12277823029558968,-0.20055869600881884,-0.09027371210691315,0.03609259372600778,0.12077749520100213,0.01974522996469802
100,2023,0.4068372834083939,0.029630608755840514,-0.34286684906302967,-0.0894824670114706,-0.20421883959068754,-0.09631662648358304,-0.14016378127999604,-0.09741649928562914,0.033923451030865394,0.07542680243281674,-0.029630608755840514
100,2024,0.5412031605217894,-0.03571290580706596,-0.29456263686121553,-0.10042900166574924,-0.19256583093858348,-0.12352957097688705,-0.17953060512099905,-0.08000961050991236,0.036659933931968904,0.14569435555883864,0.03571290580706596
120,2022,0.5000518988718007,-0.07904768307312969,0.020476735337644433,0.11685650542901761,0.004710186944187203,-0.004268091356372473,0.029095844047418818,0.0540248124988446,-0.010280883789825734,-0.01465159792577523,0.07904768307312969
120,2023,0.5325687364558671,-0.18140512728513378,0.030818574081840445,0.08958390199845317,0.02448224296314241,-0.02331974725497748,0.043444623784666576,0.05317823168099429,-0.03989984639606137,-0.04609268926146133,0.18140512728513378
