company_name,stock_code,corp_code,fiscal_year,fs_div,status,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,업종구분
백광산업,1340,122472,2023,CFS,ok,233521888171.0,17738515912.0,7728814098.0,426908196303.0,213256378678.0,213651817625.0,비금융업
백광산업,1340,122472,2024,CFS,ok,245228124294.0,9748351104.0,3600645965.0,464295668847.0,250865510826.0,213430158021.0,비금융업
보해양조,890,123541,2022,CFS,ok,90858780910.0,61880701.0,-2828783632.0,147392500947.0,64936220688.0,82456280259.0,비금융업
보해양조,890,123541,2023,CFS,ok,93084785144.0,-2803701933.0,-3555068227.0,143300746774.0,63286857321.0,80013889453.0,비금융업
보해양조,890,123541,2024,CFS,ok,87624248943.0,2300656654.0,6685688838.0,138831713491.0,51788332179.0,87043381312.0,비금융업
부국증권,1270,123772,2022,CFS_frmtrm,ok,983407272978.0,60450553818.0,42313705537.0,1481429884085.0,786574355132.0,694855528953.0,비금융업
부국증권,1270,123772,2023,CFS,ok,815040553001.0,69108709126.0,57306543254.0,1770492019487.0,1012607100628.0,757884918859.0,비금융업
부국증권,1270,123772,2024,CFS,ok,779174975982.0,36674404410.0,30952554750.0,1651368375233.0,881102905317.0,770265469916.0,비금융업
삼부토건,1470,125974,2022,CFS,ok,436292508722.0,-81877991386.0,-90441647309.0,498726793527.0,308796987564.0,189929805963.0,비금융업
삼부토건,1470,125974,2023,CFS,ok,574975687073.0,-78151994195.0,-111007774067.0,513742450417.0,411614796994.0,102127653423.0,비금융업
삼부토건,1470,125974,2024,CFS,ok,462425746422.0,-112577744269.0,-127766951618.0,300331502195.0,292664231363.0,7667270832.0,비금융업
삼성SDI,6400,126362,2022,CFS,ok,20124069515854.0,1808013013202.0,2039361447986.0,30257525171127.0,13040023014999.0,17217502156128.0,비금융업
삼성SDI,6400,126362,2023,CFS,ok,22708300498633.0,1633368964768.0,2066046562201.0,34038860192967.0,14131610215445.0,19907249977522.0,비금융업
삼성SDI,6400,126362,2024,CFS,ok,16592248884388.0,363304463263.0,575512415979.0,40597344536357.0,19030107423830.0,21567237112527.0,비금융업
삼성에스디에스,18260,126186,2022,CFS,ok,17234749537662.0,916074023314.0,1130012585621.0,11952424889489.0,3485454954575.0,8466969934914.0,비금융업
삼성에스디에스,18260,126186,2023,CFS,ok,13276844204872.0,808230946594.0,701325761022.0,12321024561023.0,3345453419084.0,8975571141939.0,비금융업
삼성에스디에스,18260,126186,2024,CFS,ok,13828232033800.0,911096907001.0,789501325293.0,13238330251696.0,3532880772221.0,9705449479475.0,비금융업
삼성전자,5930,126380,2022,CFS,ok,302231360000000.0,43376630000000.0,55654077000000.0,448424507000000.0,93674903000000.0,354749604000000.0,비금융업
삼성전자,5930,126380,2023,CFS,ok,258935494000000.0,6566976000000.0,15487100000000.0,455905980000000.0,92228115000000.0,363677865000000.0,비금융업
삼성전자,5930,126380,2024,CFS,ok,300870903000000.0,32725961000000.0,34451351000000.0,514531948000000.0,112339878000000.0,402192070000000.0,비금융업
