stock_code,fiscal_year,Climate Change,Natural Capital,Pollution & Waste,Human Capital,Product Liability,Community Relations,Corporate Governance,Business Ethics & Values,Non-ESG,E_finbert,S_finbert,G_finbert,X_finbert
000140,2024,0.09993049045304014,0.014552321113158195,0.10657196683349043,0.09373046842908177,0.099905814601308,0.08725147040621821,0.3954126095881553,0.03874900052878296,0.06389587589850028,0.07368492613322959,0.093629251145536,0.2170808050584691,0.06389587589850028
000150,2022,0.5925951893725803,0.03536392513518821,0.06147628049912975,0.07569031406654342,0.03893520894482869,0.06704407363753434,0.06831585020986633,0.021117266026439294,0.03946188772136917,0.22981179833563278,0.060556532216302146,0.04471655811815281,0.03946188772136917
000150,2023,0.5327831922915854,0.03906188577401058,0.037313964274936925,0.13699418880194253,0.07920663384867178,0.04267118063785805,0.05445208136717345,0.02144100228750347,0.056075870974345646,0.20305301411351098,0.08629066776282412,0.03794654182733846,0.056075870974345646
000150,2024,0.49909883360537194,0.02857799207819656,0.08779570353051115,0.1279107884234785,0.07903316829460537,0.06459448489779304,0.05131758540504394,0.019244491548448282,0.0424269532832822,0.20515750973802657,0.09051281387195897,0.035281038476746115,0.0424269532832822
000180,2022,0.23556054310099553,0.051071179269309784,0.26386378062682436,0.03799821243944367,0.023114939957233748,0.03724102014459805,0.2805502917861656,0.045366680448604445,0.025233342973214966,0.18349850099904322,0.032784724180425155,0.162958486117385,0.025233342973214966
000180,2023,0.22458319639372348,0.03811435656461981,0.26154897304422775,0.016119009773319704,0.03830371933327115,0.04041319097586893,0.2725396043588262,0.055165457237308146,0.05321249492953939,0.17474884200085702,0.031611973360819924,0.16385253079806716,0.05321249492953939
000180,2024,0.2948823351157793,0.04497276514974566,0.1555217159050069,0.017498061931781612,0.029282469716585744,0.04330395501333092,0.29642682809096116,0.05076569928384673,0.06734615264352985,0.16512560539017732,0.03002816222056609,0.17359626368740394,0.06734615264352985
000210,2022,0.3783045764581205,0.012333073253190729,0.17587417680335354,0.15377789749855075,0.046757843744266406,0.04546054241146488,0.10518300359443122,0.025210587908471766,0.05709830615374944,0.18883727550488824,0.081998761218094,0.0651967957514515,0.05709830615374944
000210,2023,0.36869078976134445,0.029517444599555843,0.15767649665911737,0.13854556242240326,0.07703011224117236,0.07579846393044964,0.07478047979708605,0.029177413328659103,0.048783236333643926,0.1852949103400059,0.0971247128646751,0.05197894656287257,0.048783236333643926
000210,2024,0.39241505193948634,0.019785242944764084,0.156623693261816,0.1303981759807999,0.06346555966832539,0.08363767093876102,0.06947539790451307,0.035517099482582554,0.04868210958563449,0.1896079960486888,0.09250046886262876,0.05249624869354781,0.04868210958563449
000220,2022,0.004764203190071774,0.0028882771189923267,0.003757245422873114,0.16792595186936005,0.12747096972140884,0.012962584945073883,0.2980869893383767,0.26959400683907525,0.11254977482271247,0.0038032419106457382,0.10278650217861428,0.28384049808872597,0.11254977482271247
000220,2023,0.002309522834063197,0.0023301617620745674,0.0022180952170553305,0.1976626181664566,0.140807553466099,0.0075590866957403096,0.3518462568366279,0.29130052565597,0.003966197187158589,0.002285926604397698,0.11534308610943196,0.3215733912462989,0.003966197187158589
000220,2024,0.002309522834063197,0.0023301617620745674,0.0022180952170553305,0.1976626181664566,0.140807553466099,0.0075590866957403096,0.3518462568366279,0.29130052565597,0.003966197187158589,0.002285926604397698,0.11534308610943196,0.3215733912462989,0.003966197187158589
000230,2022,0.00894948978453786,0.007783582118073744,0.01191719374730296,0.10544174911254751,0.25310836200896164,0.05575918866227204,0.4334161285410768,0.022709214511061355,0.10091509004788739,0.009550088549971523,0.13810309992792705,0.22806267152606907,0.10091509004788739
000230,2023,0.008183706211734955,0.03776232580390857,0.01043164255526407,0.10903396326925997,0.20939981568096155,0.059484080465106094,0.47629044312787683,0.019823903420106752,0.06959012990486563,0.01879255819030253,0.1259726198051092,0.2480571732739918,0.06959012990486563
000230,2024,0.004987906094174832,0.0019482084938014547,0.0022751031327061357,0.11375050710824629,0.07144275468502505,0.10256375892592283,0.6662236853347471,0.028784255132389566,0.008023823593975975,0.003070405906894141,0.09591900690639805,0.3475039702335683,0.008023823593975975
