stock_code,fiscal_year,E_consistency,G_consistency,S_consistency,ESG_consistency,E_greenwash_flag,G_greenwash_flag,S_greenwash_flag,z_E_intensity,z_E_content,z_E_semantic,z_G_intensity,z_G_content,z_G_semantic,z_S_intensity,z_S_content,z_S_semantic
000430,2024,-0.26852003783787975,-0.25876474364146473,-1.2311737498966344,-0.586152843791993,0,0,1,-1.2641618509404342,-1.2654253550569678,-0.7997045418186086,1.066398124886285,0.5491160896254696,0.8216153052924304,1.0614012643725026,-1.2654253550569678,-0.7997045418186086
000480,2022,-0.29610717152040716,-0.31688719927111625,-0.04114124840668595,-0.21804520639940314,0,0,0,-0.28758990827244546,-0.7812881155714603,-0.8176967234846776,0.5413345925104301,0.12951681601414292,-0.0817757823205359,-0.7355892356187509,-0.7812881155714603,-0.8176967234846776
000480,2023,-0.4708974893649931,-0.8396543124553908,-0.3570491368697137,-0.5558669795633658,0,0,0,-0.3964117199774081,-0.1276299006408266,0.5196764371379677,0.3383278541643314,-1.2100333044361968,-0.9988726050493574,0.45717099889499346,-0.1276299006408266,0.5196764371379677
000480,2024,-0.23956988466697723,-0.8570621413868719,-0.28824314418911956,-0.46162505674765625,0,0,0,-0.3890601500587803,-0.3489202932887321,0.0444983305763712,0.12330244140608826,-0.04738635600360744,-1.4391389559501937,0.2127118465309702,-0.3489202932887321,0.0444983305763712
000490,2022,-0.3699936722681298,-0.6830752379376288,-0.3391175783229598,-0.4640621628429062,0,0,0,1.6380663526075796,1.074589219981182,0.9409290702266508,-0.2941126650154109,-0.17353023125024433,-1.412324842082585,0.43190897443572634,1.074589219981182,0.9409290702266508
000490,2023,-0.45761630139172627,-0.7304785376827421,-0.7551874437411045,-0.6477607609385242,1,0,0,1.8969044344463097,1.43732465440033,0.9816746439010374,-0.5294180919884957,-0.17196813620193638,-1.5774648242664655,-0.037581553699262034,1.43732465440033,0.9816746439010374
000490,2024,-0.455509518952874,-1.3512058007128196,-0.3394192238964752,-0.7153781811873895,1,1,0,1.4792129870553663,0.7548672663685467,0.6385432894579837,0.1927397446492325,0.47867794228997,-1.991510711705069,0.11750947514166378,0.7548672663685467,0.6385432894579837
000500,2022,-0.21972195603336853,-0.5891368323992547,-1.830218836439903,-0.8796925416241755,0,0,0,1.049707225652869,0.6334738879545772,0.9636379669802335,-1.6488159454260891,-0.531858872206761,-0.7654500524800067,-2.3585545755826787,0.6334738879545772,0.9636379669802335
000500,2023,-0.23096672186511238,-0.3357689989733404,-0.9121177856360073,-0.49295116882482004,0,0,0,0.87563537413323,0.435444469191633,0.7768282361546859,-0.7842893396258503,-0.12902488168483486,-0.32940213183672185,-0.9457880679611664,0.435444469191633,0.7768282361546859
000500,2024,-0.26884550787724276,-0.4056084560933293,-0.8957742016830486,-0.5234093885512069,0,0,0,0.903393084433318,0.3934731950479224,0.7961490871674544,-0.7414175560038828,0.0676176262971273,-0.38838990865429107,-0.9170166783320827,0.3934731950479224,0.7961490871674544
000520,2022,-0.530224540674706,-0.8301889588934834,-0.22183108001610644,-0.527414859861432,0,0,0,-1.2641618509404342,-1.951252596333225,-2.307238439021671,1.7418734941859986,0.379633695935012,0.2386415762627193,-2.3585545755826787,-1.951252596333225,-2.307238439021671
000520,2023,-0.5302245445448386,-0.8301889843525844,-0.22183108203055166,-0.5274148703093249,0,0,0,-1.2641618509404342,-1.951252596333225,-2.3072384478220185,1.7418734941859986,0.379633695935012,0.23864149913504076,-2.3585545755826787,-1.951252596333225,-2.3072384478220185
