stock_code,company_name,fiscal_year,corp_code,CAPEX
068270,셀트리온,2023,00413046,210046189698.0
068270,셀트리온,2024,00413046,0.0
005490,POSCO홀딩스,2022,00155319,4927586254768.0
005490,POSCO홀딩스,2023,00155319,6733288526505.0
005490,POSCO홀딩스,2024,00155319,7669699522275.0
051910,LG화학,2022,00356361,-8406288000000.0
051910,LG화학,2023,00356361,-12959891000000.0
051910,LG화학,2024,00356361,-14614863000000.0
096770,SK이노베이션,2022,00631518,6776585583000.0
096770,SK이노베이션,2023,00631518,11238125586000.0
096770,SK이노베이션,2024,00631518,10027893990000.0
011170,롯데케미칼,2022,00165413,2592603038305.0
011170,롯데케미칼,2023,00165413,3640021561404.0
011170,롯데케미칼,2024,00165413,2238079630804.0
010130,고려아연,2022,00102858,372971049177.0
010130,고려아연,2023,00102858,418611480986.0
010130,고려아연,2024,00102858,
010950,S-Oil,2022,00138279,598755000000.0
010950,S-Oil,2023,00138279,2185625000000.0
010950,S-Oil,2024,00138279,-3041864000000.0
086790,하나금융지주,2022,00547583,
086790,하나금융지주,2023,00547583,2177689000000.0
086790,하나금융지주,2024,00547583,2000280000000.0
055550,신한지주,2022,00382199,
055550,신한지주,2023,00382199,261444000000.0
055550,신한지주,2024,00382199,263836000000.0
105560,KB금융지주,2022,00688996,
105560,KB금융,2023,00688996,350138000000.0
105560,KB금융,2024,00688996,337178000000.0
316140,우리금융지주,2022,01350869,
316140,우리금융지주,2023,01350869,164696000000.0
316140,우리금융지주,2024,01350869,221856000000.0
138930,BNK금융지주,2022,00858364,
138930,BNK금융지주,2023,00858364,115182504015.0
138930,BNK금융지주,2024,00858364,82945547444.0
024110,기업은행,2022,00149646,
024110,기업은행,2023,00149646,192407000000.0
024110,기업은행,2024,00149646,322866000000.0
000640,동아쏘시오홀딩스,2022,00116824,56522924374.0
000640,동아쏘시오홀딩스,2023,00116824,150104951725.0
000640,동아쏘시오홀딩스,2024,00116824,49564670319.0
001740,SK네트웍스,2022,00131780,138029000000.0
001740,SK네트웍스,2023,00131780,102260000000.0
001740,SK네트웍스,2024,00131780,129252000000.0
002790,아모레퍼시픽홀딩스,2022,00154462,120101817974.0
002790,아모레퍼시픽홀딩스,2023,00154462,188275432558.0
002790,아모레퍼시픽홀딩스,2024,00154462,88101643675.0
003670,포스코케미칼,2022,00155276,659146835191.0
003670,포스코퓨처엠,2023,00155276,1352298459926.0
003670,포스코퓨처엠,2024,00155276,2041609019528.0
006400,삼성SDI,2022,00126362,2808898170363.0
006400,삼성SDI,2023,00126362,4048246715878.0
006400,삼성SDI,2024,00126362,6271319040013.0
007070,GS리테일,2022,00140177,360293137326.0
007070,GS리테일,2023,00140177,385808018263.0
007070,GS리테일,2024,00140177,439181920409.0
011210,현대위아,2022,00106623,113150000000.0
011210,현대위아,2023,00106623,131904000000.0
011210,현대위아,2024,00106623,241035000000.0
014790,HL D&I,2022,00161116,388972962.0
014790,HL D&I,2023,00161116,1826070140.0
014790,HL D&I,2024,00161116,387802230.0
030200,케이티,2022,00190321,2980008000000.0
030200,케이티,2023,00190321,2928008000000.0
030200,케이티,2024,00190321,2362186000000.0
042670,현대두산인프라코어,2022,00344287,89538287773.0
042670,HD현대인프라코어,2023,00344287,116467142749.0
042670,HD현대인프라코어,2024,00344287,131730728666.0
057050,현대홈쇼핑,2022,00412597,34856441544.0
057050,현대홈쇼핑,2023,00412597,86498240908.0
057050,현대홈쇼핑,2024,00412597,115659858915.0
064350,현대로템,2022,00302926,32470963000.0
064350,현대로템,2023,00302926,54676482000.0
064350,현대로템,2024,00302926,80999247000.0
000070,삼양홀딩스,2022,00126937,136701000000.0
000070,삼양홀딩스,2023,00126937,151631946870.0
000070,삼양홀딩스,2024,00126937,133961929648.0
000100,유한양행,2022,00145109,58295289340.0
000100,유한양행,2023,00145109,161479680076.0
000100,유한양행,2024,00145109,117078952653.0
000150,두산,2022,00117212,-700009377312.0
000150,두산,2023,00117212,583899771832.0
000150,두산,2024,00117212,710433000000.0
000210,DL,2022,00109693,15822927439.0
000210,DL,2023,00109693,607384031944.0
000210,DL,2024,00109693,377421586565.0
000270,기아,2022,00106641,1494602000000.0
000270,기아,2023,00106641,2335160000000.0
000270,기아,2024,00106641,3485121000000.0
000320,노루홀딩스,2022,00113508,29665443122.0
000320,노루홀딩스,2023,00113508,19453739343.0
000320,노루홀딩스,2024,00113508,14605771996.0
000370,한화손해보험,2022,00135917,
000370,한화손해보험,2023,00135917,21462848946.0
000370,한화손해보험,2024,00135917,128411113792.0
000720,현대건설,2022,00164478,-148404000000.0
000720,현대건설,2023,00164478,222144000000.0
000720,현대건설,2024,00164478,178853000000.0
001120,LX인터내셔널,2022,00120076,133307196708.0
001120,LX인터내셔널,2023,00120076,97302403476.0
001120,LX인터내셔널,2024,00120076,106577028268.0
001230,동국제강,2022,00114792,160948415806.0
001230,동국홀딩스,2023,00114792,100489036247.0
001230,동국홀딩스,2024,00114792,34231005491.0
001430,세아베스틸지주,2022,00106669,103147592459.0
001430,세아베스틸지주,2023,00106669,119273320873.0
001430,세아베스틸지주,2024,00106669,167282382438.0
001440,대한전선,2022,00113207,13335122000.0
001440,대한전선,2023,00113207,126017035000.0
001440,대한전선,2024,00113207,128960244000.0
001450,현대해상,2022,00164973,
001450,현대해상,2023,00164973,25180921793.0
001450,현대해상,2024,00164973,75180456376.0
001630,종근당홀딩스,2022,00149354,58027236329.0
001630,종근당홀딩스,2023,00149354,25376106028.0
001630,종근당홀딩스,2024,00149354,21170079713.0
001680,대상,2022,00121941,
001680,대상,2023,00121941,180359829968.0
001680,대상,2024,00121941,
001800,오리온홀딩스,2022,00117577,86079120268.0
001800,오리온홀딩스,2023,00117577,178074876746.0
001800,오리온홀딩스,2024,00117577,121934227618.0
002030,아세아,2022,00138701,123201697847.0
